Date;Heure;Periode;Lien;Titre;Type;Durée (Reels);Nb Image (Carrousel);Contenue;Collaboration;Vues;Vues Followers;Vues Non Followers;Nb Interaction;Likes;Commentaires;Partage;Enregistrement;Activté du Profil;Visites du profil;Followers en plus;Appuis sur des liens externes;Hashtags
2024-05-24;20:00;Avant Trail;https://www.instagram.com/p/C7hXw-voGAY/;E - Experiences;Photo;;;Lancement;Non;2054;188,97;1865,03;107,00;78;8;17;4;342;235;69;38;3
2024-05-29;21:00;Avant Trail;https://www.instagram.com/p/C7kDbl6MzA_/;O - Outdoor;Photo;;;Lancement;Non;797;336,33;460,67;52,00;48;1;2;1;69;61;3;5;3
2024-05-30;19:30;Avant Trail;https://www.instagram.com/p/C7md6Sqv70u/;M - Marseille;Photo;;;Lancement;Non;870;317,55;552,45;41,00;38;0;3;0;20;17;2;1;3
2024-06-01;;Avant Trail;https://www.instagram.com/p/C7qaSTRMtgK/;Trailer 1;Reels;00.20;;Trailer;Non;7800,00;694,20;7105,80;150,00;107;12;29;2;44;;44;;3
2024-06-03;;Avant Trail;https://www.instagram.com/p/C7wqT1NvhGs/;Trailer 2;Reels;00.22;;Trailer;Non;6400,00;748,80;5651,20;129,00;99;9;18;3;20;;20;;3
2024-06-05;;Avant Trail;https://www.instagram.com/p/C70yn3EJ23-/;Trailer 3;Reels;00.24;;Trailer;Non;3500,00;696,50;2803,50;74,00;65;2;7;0;6;;6;;3
2024-06-05;;Avant Trail;https://www.instagram.com/p/C74U2kzM9eB/;Ouverture des Inscriptions;Reels;;;Ouverture des Inscriptions;Oui;21000,00;903,00;20097,00;373,00;301;20;34;18;36;;36;;0
2024-06-08;08:37;Avant Trail;https://www.instagram.com/p/C78eVtCM4_i/;Présentation du lot d'Inscription;Photo;;;Présentation;Non;1177;484,92;692,08;64,00;56;3;3;2;62;43;3;16;1
2024-06-10;19:13;Avant Trail;https://www.instagram.com/p/C8Cwsi-pAHz/;Présentation du point de départ;Photo;;;Présentation;Non;817;433,83;383,17;48,00;45;1;2;0;17;10;0;7;2
2024-06-12;08:59;Avant Trail;https://www.instagram.com/p/C8G0CgiMsN4/;1€ donné a NDG/Dossard;Photo;;;Information;Non;1171;434,44;736,56;52,00;49;1;2;0;22;17;2;3;2
2024-06-14;12:05;Avant Trail;https://www.instagram.com/p/C8MS9rcof2p/;40%  sur le Second Dossard;Photo;;;Reduction;Non;1048;441,21;606,79;39,00;33;1;4;1;53;38;2;13;1
2024-06-15;10:58;Avant Trail;https://www.instagram.com/p/C8OwGwqs-ti/;Presentation du passage par malmousque;Photo;;;Présentation;Non;823;460,88;362,12;51,00;45;5;1;0;31;17;0;14;2
2024-06-17;16:14;Avant Trail;https://www.instagram.com/p/C8UdzfbM4Dj/;Presentation du passage par valmer;Photo;;;Présentation;Non;643;397,37;245,63;32,00;32;0;0;0;6;5;0;1;1
2024-06-19;14:40;Avant Trail;https://www.instagram.com/p/C8Zco1-MNEy/;Certification du 20km;Photo;;;Information;Non;1744;504,02;1239,98;110,00;89;7;9;5;91;66;4;21;2
2024-06-24;12:55;Avant Trail;https://www.instagram.com/p/C8mIk9CM2Zw/;Partenariat Running Heroes;Photo;;;Partenariat;Non;1271;392,74;878,26;29,00;28;0;1;0;11;9;0;2;2
2024-06-26;09:31;Avant Trail;https://www.instagram.com/p/C8q63c0Isx0/;Securité sur les parcours;Photo;;;Information;Non;1794;418,00;1376,00;94,00;83;3;5;3;145;100;14;31;2
2024-06-30;;Avant Trail;https://www.instagram.com/p/C81aUzYMMDj/;Videos a Malmousque;Reels;00.15;;Présentation;Non;3300,00;910,80;2389,20;103,00;91;4;7;1;6;;6;;2
